IWZ9Z08W,Hàn Quốc
IWZ9Z09O,Electronic / Dance
IWZ9Z08I,Việt Nam
IWZ9Z088,Nhạc Trẻ
IWZ9Z08B,Nhạc Trữ Tình
IWZ9Z089,Rap Việt
IWZ9Z08D,Nhạc Quê Hương
IWZ9Z0CW,Nhạc Dance
IWZ9Z08O,Âu Mỹ
IWZ9Z0C7,Trance / House / Techno
IWZ9Z097,Pop
IWZ9Z09D,R&B; / Soul
IWZ9Z09W,Pop / Ballad
IWZ9Z09I,Rap / Hip Hop
IWZ9Z08Z,Nhật Bản
IWZ9Z0A6,Pop / Dance
IWZ9Z09U,R&B;
IWZ9Z0BB,Nhạc Phim
IWZ9Z09Z,Rock
IWZ9Z0EO,Audiophile
IWZ9Z08U,Hoa Ngữ
IWZ9Z09F,Đài Loan
IWZ9Z096,Country
IWZ9Z09C,Blues / Jazz
IWZ9ZIUO,Alternative
IWZ9Z08A,Rock Việt
IWZ9Z0BO,New Age / World Music
IWZ9Z086,Hòa Tấu
IWZ9Z0CA,Indie
IWZ9Z0F7,Chillout/Lounge
IWZ9Z0B0,Piano
IWZ9Z0A0,Trung Quốc
IWZ9Z0AI,Hong Kong
IWZ9Z08C,Nhạc Cách Mạng
IWZ9Z0BC,Hoạt Hình
IWZ9Z08F,Nhạc Thiếu Nhi
IWZ9Z0BI,Classical
IWZ9Z0A9,Guitar
IWZ9Z090,Nhạc Không Lời
IWZ9Z0AC,Love Songs
IWZ9Z0BU,Violin
IWZ9Z09E,Folk
IWZ9Z0E8,Nhạc Cụ Khác
IWZ9Z0AA,Nhạc Cụ Dân Tộc
IWZ9Z08E,Nhạc Trịnh
IWZ9ZIWZ,Radio Online
IWZ9Z0B7,Saxophone
IWZ9Z0AB,Semi Classic
IWZ9Z0AD,Cello
IWZ9Z0DE,Christian & Gospel
IWZ9Z0CU,Khác
IWZ9Z0CZ,Nhạc Thái
IWZ9Z0BW,Harp
IWZ9Z0CO,Pháp
IWZ9Z0FZ,Nhạc Đạo
IWZ9Z0C6,Cải Lương
